Date,USD_VND,Price,Change %,Lag_1,Lag_5,ROC_5,Volatility_1_Week,DXY,US_Bond_10Y,US_Fed_Rate,VN_CPI,Month,DayOfWeek
2022-01-10,22695.0,22695.0,0.04,22685.0,22825.0,-0.5695509309967095,33.612497675716696,115.2216,1.78,,,1,0
2022-01-11,22698.0,22698.0,0.01,22695.0,22752.0,-0.2373417721519,31.965606517006115,114.8332,1.75,,,1,1
2022-01-12,22698.0,22698.0,0.0,22698.0,22755.0,-0.2504943968358653,23.42434630891644,114.355,1.74,,,1,2
2022-01-13,22710.0,22710.0,0.05,22698.0,22745.0,-0.15387997362057426,8.927485648269265,114.177,1.7,,,1,3
2022-01-14,22710.0,22710.0,0.0,22710.0,22685.0,0.11020498126514955,7.224956747278779,114.3825,1.78,,,1,4
2022-01-17,22720.0,22720.0,0.04,22710.0,22695.0,0.11015642211940069,9.33809402394539,114.3825,1.78,,,1,0
2022-01-18,22750.0,22750.0,0.13,22720.0,22698.0,0.22909507445589838,19.71801207018743,114.7373,1.87,,,1,1
2022-01-19,22700.0,22700.0,-0.22,22750.0,22698.0,0.008811349017534553,19.235384061673063,114.6109,1.83,,,1,2
2022-01-20,22645.0,22645.0,-0.24,22700.0,22710.0,-0.2862175253192434,38.4057287393439,114.4642,1.83,,,1,3
2022-01-21,22625.0,22625.0,-0.09,22645.0,22710.0,-0.37428445618670203,52.03364296299142,114.6125,1.75,,,1,4
2022-01-24,22675.0,22675.0,0.22,22625.0,22720.0,-0.1980633802816878,48.91318840558307,115.2034,1.75,,,1,0
2022-01-25,22630.0,22630.0,-0.2,22675.0,22750.0,-0.5274725274725278,31.81980515339568,115.1654,1.78,,,1,1
2022-01-26,22630.0,22630.0,0.0,22630.0,22700.0,-0.3083700440528636,20.432816741704173,115.0922,1.85,,,1,2
2022-01-27,22630.0,22630.0,0.0,22630.0,22645.0,-0.06623978803267372,20.796634343087018,115.978,1.81,,,1,3
2022-01-28,22645.0,22645.0,0.07,22630.0,22625.0,0.08839779005525017,19.557607215609643,116.0393,1.78,,,1,4
2022-01-31,22645.0,22645.0,0.0,22645.0,22675.0,-0.13230429988975168,8.215838362581533,115.566,1.79,,,1,0
2022-02-01,22645.0,22645.0,0.0,22645.0,22630.0,0.06628369421122215,8.215838362581533,115.3685,1.81,0.08,,2,1
2022-02-02,22645.0,22645.0,0.0,22645.0,22630.0,0.06628369421122215,6.7082039325043175,115.1538,1.78,0.08,,2,2
2022-02-03,22645.0,22645.0,0.0,22645.0,22630.0,0.06628369421122215,0.0,114.9065,1.82,0.08,,2,3
2022-02-04,22645.0,22645.0,0.0,22645.0,22645.0,0.0,0.0,115.1362,1.93,0.08,,2,4
2022-02-07,22665.0,22665.0,0.09,22645.0,22645.0,0.0883197173769057,8.94427191000287,115.0098,1.92,0.08,,2,0
2022-02-08,22715.0,22715.0,0.22,22665.0,22645.0,0.3091190108191588,30.331501776207297,115.0892,1.96,0.08,,2,1
2022-02-09,22680.0,22680.0,-0.15,22715.0,22645.0,0.15455950540959051,29.154759474227642,114.8232,1.94,0.08,,2,2
2022-02-10,22680.0,22680.0,0.0,22680.0,22645.0,0.15455950540959051,25.641762809917466,114.5527,2.03,0.08,,2,3
2022-02-11,22685.0,22685.0,0.02,22680.0,22645.0,0.1766394347538114,18.371173070875642,114.8413,1.92,0.08,,2,4
2022-02-14,22725.0,22725.0,0.18,22685.0,22665.0,0.2647253474520106,21.38924963620899,115.1946,1.98,0.08,,2,0
2022-02-15,22750.0,22750.0,0.11,22725.0,22715.0,0.15408320493066618,31.898275815474204,114.93,2.05,0.08,,2,1
2022-02-16,22750.0,22750.0,0.0,22750.0,22680.0,0.30864197530864335,34.02205167240898,114.6886,2.03,0.08,,2,2
2022-02-17,22785.0,22785.0,0.15,22750.0,22680.0,0.4629629629629539,36.97972417420209,114.6755,1.97,0.08,,2,3
2022-02-18,22820.0,22820.0,0.15,22785.0,22685.0,0.5951068988318209,36.97972417420209,114.7982,1.92,0.08,,2,4
2022-02-21,22800.0,22800.0,-0.09,22820.0,22725.0,0.3300330033003229,30.90307428072596,114.7982,1.92,0.08,,2,0
2022-02-22,22815.0,22815.0,0.07,22800.0,22750.0,0.28571428571428914,28.151376520519673,114.7002,1.94,0.08,,2,1
2022-02-23,22825.0,22825.0,0.04,22815.0,22750.0,0.3296703296703285,16.355427233798157,114.6668,1.99,0.08,,2,2
2022-02-24,22840.0,22840.0,0.07,22825.0,22785.0,0.24138687733157305,14.577379737115528,115.9419,1.96,0.08,,2,3
2022-02-25,22820.0,22820.0,-0.09,22840.0,22820.0,0.0,14.577379737115528,115.2577,1.97,0.08,,2,4
2022-02-28,22805.0,22805.0,-0.07,22820.0,22800.0,0.02192982456139525,12.94217910554735,115.2224,1.83,0.08,,2,0
2022-03-01,22815.0,22815.0,0.04,22805.0,22815.0,0.0,12.94217910554735,115.7962,1.72,0.2,,3,1
2022-03-02,22840.0,22840.0,0.11,22815.0,22825.0,0.0657174151150075,15.572411502399568,115.7623,1.86,0.2,,3,2
2022-03-03,22835.0,22835.0,-0.02,22840.0,22840.0,-0.02189141856392407,14.404860290890237,115.9495,1.86,0.2,,3,3
2022-03-04,22830.0,22830.0,-0.02,22835.0,22820.0,0.04382120946537782,14.577379737115528,116.6503,1.74,0.2,,3,4
2022-03-07,22845.0,22845.0,0.07,22830.0,22805.0,0.17540013155010747,11.510864433224222,117.3278,1.78,0.2,,3,0
2022-03-08,22845.0,22845.0,0.0,22845.0,22815.0,0.13149243918475495,6.519202405207741,117.6176,1.86,0.2,,3,1
2022-03-09,22835.0,22835.0,-0.04,22845.0,22840.0,-0.02189141856392407,6.7082039325043175,116.5961,1.94,0.2,,3,2
2022-03-10,22835.0,22835.0,0.0,22835.0,22835.0,0.0,6.7082039325043175,116.7401,1.98,0.2,,3,3
2022-03-11,22873.0,22873.0,0.17,22835.0,22830.0,0.18834866403854011,15.58204094462848,117.0192,2.0,0.2,,3,4
2022-03-14,22890.0,22890.0,0.07,22873.0,22845.0,0.1969796454366346,24.7345911629866,117.1506,2.14,0.2,,3,0
